Município,Estado,IDHM 2010,IDHM Educação 2010,Classificação,Média CN,Média CH,Média LC,Média MT,Média RD,Média Total,Escola Escolhida,Alunos no EM,Valor por aluno Jan-2019 (R$40932),Valor por aluno Dez-2020 (R$55620)
Itapicuru,BA,0.486,0.319,Muito Baixo,446.13,464.07,476.68,459.6,573.0,483.9,TEREZA CALDAS,462.0,88.6,120.39
Manari,PE,0.487,0.354,Muito Baixo,438.74,451.62,468.95,443.95,584.0,477.45,MANOEL JOAQUIM DO NASCIMENTO,990.0,41.35,56.18
Caxingó,PI,0.488,0.329,Muito Baixo,432.32,429.19,459.09,433.17,486.32,448.02,U E PROF MARIA DO SOCORRO SAMPAIO MARTINS,284.0,144.13,195.85
Afuá,PA,0.489,0.311,Muito Baixo,425.29,455.36,457.38,482.55,491.0,462.32,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROFESSORA RAIMUNDA BARAUNA,971.0,42.15,57.28
Betânia do Piauí,PI,0.489,0.342,Muito Baixo,438.37,468.41,492.23,513.9,515.79,485.74,UNIDADE ESCOLAR MUNICIPAL JOSE FREIRE DA SILVA,185.0,221.25,300.65
Ipixuna do Pará,PA,0.489,0.304,Muito Baixo,428.15,446.72,446.68,425.65,460.0,441.44,EMEI MARIA DO CARMO ANDRADE LOPES,905.0,45.23,61.46
Jenipapo dos Vieiras,MA,0.49,0.346,Muito Baixo,452.4,439.54,460.76,454.12,416.0,444.56,UNIDADE INTEGRADA DE EDUCACAO ESCOLAR INDIGENA ZAWARUHU KAGAPIHAW,104.0,393.58,534.81
Santo Antônio do Içá,AM,0.49,0.353,Muito Baixo,418.14,432.85,443.74,443.45,408.12,429.26,ESCOLA ESTADUAL SANTO ANTONIO,851.0,48.1,65.36
Olivença,AL,0.493,0.345,Muito Baixo,440.63,495.51,535.51,479.2,720.0,534.17,ESCOLA MUNICIPAL SENADOR TEOTONIO VILELA,406.0,100.82,137.0
Satubinha,MA,0.493,0.369,Muito Baixo,439.07,441.38,434.17,454.41,458.0,445.41,UNIDADE DE ENSINO INFANTIL MORANGUINHO,297.0,137.82,187.27
Pauini,AM,0.496,0.317,Muito Baixo,430.03,417.22,405.76,430.32,365.0,409.67,MEM DE SA,526.0,77.82,105.74
Cocal,PI,0.497,0.334,Muito Baixo,469.1,473.92,479.79,477.26,496.97,479.41,UNIDADE ESCOLAR SAMUEL TUPINAMBA,733.0,55.84,75.88
Cocal dos Alves,PI,0.498,0.315,Muito Baixo,516.62,518.77,528.21,575.14,633.75,554.5,UNIDADE ESCOLAR SILVIA DE BRITO VIEIRA,205.0,199.67,271.32
Maraã,AM,0.498,0.348,Muito Baixo,435.01,464.34,451.92,459.35,476.0,457.32,ESCOLA MUNICIPAL SAO SEBASTIAO,465.0,88.03,119.61
Assunção do Piauí,PI,0.499,0.382,Muito Baixo,456.85,511.23,508.07,466.45,420.0,472.52,UNIDADE ESCOLAR ASSUNCAO III,313.0,130.77,177.7
Barcelos,AM,0.5,0.315,Baixo,456.3,456.75,474.4,458.78,532.35,475.72,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS - SCFV,383.0,106.87,145.22
Água Doce do Maranhão,MA,0.5,0.363,Baixo,437.82,443.35,449.93,434.75,442.0,441.57,UNIDADE DE EDUCACAO BASICA VEREADORA NEUZA VALENTIM SILVA SOUSA,388.0,105.49,143.35
Recursolândia,TO,0.5,0.345,Baixo,461.96,399.94,446.4,433.53,515.0,451.37,ESCOLA MUNICIPAL ZENAIDE BATISTA SALA SAO PEDRO,210.0,194.91,264.86
Tamboril do Piauí,PI,0.501,0.36,Baixo,433.82,461.86,487.5,444.38,592.0,483.91,UNIDADE ESCOLAR JOAO VALENTE MODALIDADE EJA,145.0,282.29,383.59
Marechal Thaumaturgo,AC,0.501,0.361,Baixo,442.62,469.26,494.21,467.17,532.14,481.08,ESC ZILDA VASCONCELOS,588.0,69.61,94.59
Tapauá,AM,0.502,0.355,Baixo,423.86,448.72,467.74,450.93,489.63,456.18,ESCOLA TACACA,641.0,63.86,86.77
Curralinho,PA,0.502,0.323,Baixo,444.67,439.07,474.76,438.56,515.92,462.6,EEEFM PRADO LOPES,1032.0,39.66,53.9
Lagoa Grande do Maranhão,MA,0.502,0.36,Baixo,442.49,479.37,469.89,436.54,468.57,459.37,UNIDADE ESCOLAR REI SALOMAO,395.0,103.63,140.81
Lagoa do Barro do Piauí,PI,0.502,0.358,Baixo,424.03,445.15,487.54,433.89,494.55,457.03,UNID ESC VITURINO RIBEIRO,189.0,216.57,294.29
Nova Esperança do Piriá,PA,0.502,0.346,Baixo,433.66,439.56,458.86,425.63,417.6,435.06,EMEIF PROFESSORA RIZANGELA GOMES,900.0,45.48,61.8
Breves,PA,0.503,0.312,Baixo,449.42,456.25,469.75,440.15,535.45,470.2,IFPA - CAMPUS BREVES,1215.0,33.69,45.78
Porto de Moz,PA,0.503,0.322,Baixo,433.41,424.14,463.9,428.96,467.84,443.65,EMEF ULISSES GUIMARAES,909.0,45.03,61.19
Vera Mendes,PI,0.503,0.375,Baixo,424.68,452.58,462.55,498.55,530.0,473.67,UNID ESC MARTIM MANOEL DE PAULO,118.0,346.88,471.36
Joca Marques,PI,0.504,0.353,Baixo,394.6,433.3,359.1,407.05,390.0,396.81,UNIDADE ESCOLAR TORQUATO FELIX,252.0,162.43,220.71
Mata Grande,AL,0.504,0.369,Baixo,442.11,443.16,460.5,435.18,475.64,451.32,ESCOLAR MUNICIPAL BELO HORIZONTE,521.0,78.56,106.76
Caraúbas do Piauí,PI,0.505,0.347,Baixo,409.67,464.52,492.12,382.7,440.0,437.8,U E AMARO ALVES PORTELA,101.0,405.27,550.69
Jacareacanga,PA,0.505,0.279,Baixo,393.8,464.95,445.85,363.65,450.0,423.65,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL KARU ABOY,1048.0,39.06,53.07
Beruri,AM,0.506,0.346,Baixo,447.77,427.11,451.15,475.11,418.82,443.99,NOVA ESPERANCA,426.0,96.08,130.56
Canapi,AL,0.506,0.357,Baixo,433.94,464.64,484.44,448.8,493.6,465.08,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL TOME DE SOUZA,716.0,57.17,77.68
Monte Santo,BA,0.506,0.359,Baixo,448.37,459.6,469.71,458.27,485.66,464.32,INSTITUTO DE EDUCACAO MONTE SANTO,1489.0,27.49,37.35
Pilão Arcado,BA,0.506,0.343,Baixo,449.75,428.47,446.63,443.92,413.33,436.42,ESCOLA MUNIPAL JOAO LOPES COUTO,1321.0,30.99,42.1
Acará,PA,0.506,0.332,Baixo,437.55,452.09,467.37,451.14,511.89,464.01,EMEF SAO FRANCISCO DE ASSIS,1682.0,24.34,33.07
Oeiras do Pará,PA,0.507,0.344,Baixo,441.17,442.15,457.77,446.55,436.07,444.74,EEEM RAIMUNDO RIBEIRO DA COSTA,1158.0,35.35,48.03
Guaribas,PI,0.508,0.381,Baixo,384.38,429.88,435.2,453.52,490.0,438.6,UNIDADE ESCOLAR VIRGULINO DA SILVA REIS,202.0,202.63,275.35
Milton Brandão,PI,0.508,0.357,Baixo,405.84,411.1,451.29,444.78,397.5,422.1,UNIDADE ESC MARIA DE LOURDES SOARES,260.0,157.43,213.92
Paquetá,PI,0.509,0.348,Baixo,433.42,435.45,469.07,438.87,453.33,446.03,UNID ESC TIMOTEO CARDOSO,80.0,511.65,695.25
Envira,AM,0.509,0.349,Baixo,428.38,443.86,450.96,447.04,470.32,448.11,ESCOLA MUNICIPAL RURAL PEDRO BENTO,526.0,77.82,105.74
Gurupá,PA,0.509,0.333,Baixo,425.62,470.33,495.6,438.67,530.0,472.04,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL RAIMUNDO RIBEIRO DIAS,1015.0,40.33,54.8
Jurema,PE,0.509,0.372,Baixo,444.58,473.58,449.59,405.15,523.08,459.2,UNID ESC ELIZABETE NEGREIROS SOARES,555.0,73.75,100.22
São João do Carú,MA,0.509,0.397,Baixo,461.9,488.37,454.23,450.84,328.57,436.78,ESCOLA MUNICIPAL FAZENDA ARARUNA,375.0,109.15,148.32
Itaíba,PE,0.51,0.364,Baixo,462.75,473.58,516.55,464.69,595.56,502.63,ESCOLA OSVALDO CRUZ,543.0,75.38,102.43
Santana do Maranhão,MA,0.51,0.394,Baixo,431.91,449.38,466.13,424.2,490.67,452.46,UI CONEGO NESTOR DE CARVALHO CUNHA,194.0,210.99,286.7
Ibiquera,BA,0.511,0.335,Baixo,403.77,405.93,429.87,374.22,284.0,379.56,ESCOLA MUNICIPAL SENHOR DOS PASSOS,140.0,292.37,397.29
